A pool ball set includes how many balls?,16
"Other than water, what is the most consumed beverage?",Tea
The Munich beer festival is held in which month?,October
Who were known as the 'Fab Four'?,The Beatles
Which author wrote Jurassic Park?,Michael Crichton
Which famous singer's documentary was released in 2020 and is titled Miss Americana?,Taylor Swift
How many times has Kim Kardashian been married?,Three
Which young artist claimed five Grammys at the 2020 Grammy Awards?,Billie Eilish
"As of 2020, what is the highest-grossing video game franchise?",Mario
What U.S. state drinks the most alcohol per person?,Nevada
Who starred as Mr. Rogers in the film It's a Beautiful Day in the Neighborhood?,Tom Hanks
Who wore a dress made out of meat at the 2010 MTV Video Music Awards?,Lady Gaga
What year did Game of Thrones premiere on HBO?,2011
What year was Prince George born?,2013
Who was the first singer to ever appear on the cover of Rolling Stone Magazine?,John Lennon
In the human body what is the hallux?,Big toe
What year was McDonald's founded?,1940
What is the world's oldest and most widely consumed alcoholic drink?,Beer
Which body parts continue to grow throughout your lifetime?,Nose & Ears
What is the national animal of Canada?,Beaver
What did Lady Diana work as prior to getting married into the royal family?,A nanny
"In a bar, if you were to order a boilermaker, what would you get?",A shot of whiskey followed by a glass of beer
Between which years was the alcohol Absinthe banned in the United States?,1912-2007
What is the only vowel on a standard computer keyboard that is not in the top line of letters?,A'
How many stars are on the European Union flag?,12
What is the official national anthem of the United States of America?,The Star Spangled Banner
Which famous company launched their streaming service in 2019?,Disney+
Which Disney channel show starred Hilary Duff and her character's inner cartoon?,Lizzie McGuire
Who is Marshall Bruce Mathers III better known as?,"Rapper, Eminem"
"On average, how many grapes does it take to make a bottle of wine?",400
What letter represents potassium in chemistry and a strikeout in baseball?,K
Which film was the first non-English language film to win an Oscar for Best Picture?,Parasite
What is the most commonly transplanted organ from living donors?,Kidney
Which common breakfast item beat out Kylie Jenner for most-liked photo on Instagram with nearly 54 million likes in just 10 days?,An egg
Alcohol' is a word derived from which language?,Arabic
In Greek mythology who is the god of wine?,Bacchus
Which famous musical was transformed into a major motion picture in 2019?,Cats
Who is the youngest person in history to be named TIME's Person of the Year?,Greta Thunberg
